url,frequency
http://www.nytimes.com/2012/09/29/business/tsa-is-finding-more-guns-at-airport-security-checkpoints.html,2
http://www.nytimes.com/2013/04/02/business/ruling-sets-stage-for-pension-battle-in-bankrupt-city.html,2
http://www.nytimes.com/2013/04/24/business/media/scripps-networks-is-adding-52-new-series.html,2
http://www.nytimes.com/2012/09/12/business/retirementspecial/companies-beef-up-retirement-plans-for-top-executives.html,2
http://www.nytimes.com/2008/07/14/business/media/14mtv.html,2
http://www.nytimes.com/2013/04/23/business/electronic-smarts-at-hotels-attract-guests.html,2
http://www.nytimes.com/2008/07/07/business/media/07carr.html,2
http://www.nytimes.com/2012/09/16/business/world-hunger-the-problem-left-behind-economic-view.html,2
http://www.nytimes.com/2012/09/15/business/global/india-backs-foreign-investment-in-retail-sector.html,2
http://www.nytimes.com/2012/09/17/business/media/womans-day-turns-75-while-looking-forward.html,2
http://www.nytimes.com/2011/11/05/business/energy-environment/as-wind-energy-use-grows-utilities-seek-to-stabilize-power-grid.html,2
http://www.nytimes.com/2013/04/16/business/global/greece-reaches-new-deal-with-lenders.html,2
http://www.nytimes.com/2012/09/17/business/warren-buffett-says-cancer-treatments-have-ended.html,2
http://www.nytimes.com/2008/07/02/business/02sbux.html,2
http://www.nytimes.com/2012/09/13/business/mcdonalds-to-start-posting-calorie-counts.html,2
http://www.nytimes.com/2008/07/04/business/04bayou.html,2
http://www.nytimes.com/2013/04/23/business/media/nancy-dubuc-named-new-chief-of-ae-networks.html,2
http://www.nytimes.com/2013/04/04/business/global/hong-kong-strike-clogs-shipping-traffic.html,2
http://www.nytimes.com/2012/09/30/business/when-banks-erase-a-debt-that-isnt-there.html,2
http://www.nytimes.com/2013/04/07/business/executive-pay-shows-modest-2012-gain-but-oh-those-perks.html,2
http://www.nytimes.com/2012/09/10/business/media/portugal-examines-privatizing-public-broadcaster-rtp.html,2
http://www.nytimes.com/2008/07/28/business/media/28cassette.html,2
http://www.nytimes.com/2011/11/14/business/banks-quietly-ramp-up-consumer-fees.html,2
http://www.nytimes.com/2011/11/14/business/media/reality-tvs-instant-stars-populate-a-magazine.html,2
http://www.nytimes.com/2012/09/12/business/retirementspecial/old-trusting-and-prime-prey-for-swindlers.html,2
http://www.nytimes.com/2013/04/24/business/nhtsa-issues-guidelines-to-combat-distracted-driving.html,2
http://www.nytimes.com/2012/09/04/business/global/drought-in-india-devastates-crops-and-farmers.html,2
http://www.nytimes.com/2012/09/23/nyregion/eels-worms-and-baitfish-are-kim-zattos-business.html,2
http://www.nytimes.com/2012/09/11/business/global/indie-filmmakers-feel-heavy-hand-of-beijing.html,2
http://www.nytimes.com/2008/07/17/business/17green.html,2
http://www.nytimes.com/2012/09/04/business/apps-for-eating-right-on-the-road.html,2
http://www.nytimes.com/2011/11/08/business/global/arriving-at-the-temples-of-angkor-aboard-a-luxurious-river-cruise-vessel.html,2
http://www.nytimes.com/2013/04/20/business/mcdonalds-profit-rises-but-year-over-year-sales-fall.html,2
